schema_name,enum_type,enum_value
auth,aal_level,aal1
auth,aal_level,aal2
auth,aal_level,aal3
auth,code_challenge_method,s256
auth,code_challenge_method,plain
auth,factor_status,unverified
auth,factor_status,verified
auth,factor_type,totp
auth,factor_type,webauthn
auth,factor_type,phone
auth,oauth_authorization_status,pending
auth,oauth_authorization_status,approved
auth,oauth_authorization_status,denied
auth,oauth_authorization_status,expired
auth,oauth_client_type,public
auth,oauth_client_type,confidential
auth,oauth_registration_type,dynamic
auth,oauth_registration_type,manual
auth,oauth_response_type,code
auth,one_time_token_type,confirmation_token
auth,one_time_token_type,reauthentication_token
auth,one_time_token_type,recovery_token
auth,one_time_token_type,email_change_token_new
auth,one_time_token_type,email_change_token_current
auth,one_time_token_type,phone_change_token
public,gendertype,MALE
public,gendertype,FEMALE
public,gendertype,OTHER
public,gendertype,UNKNOWN
public,institutiontype,CHILD
public,institutiontype,DEMENTIA
public,institutiontype,ELDERLY
public,institutiontype,DISABILITY
public,institutiontype,GENERAL
public,institutiontype,POLICE
public,institutiontype,HOSPITAL
public,institutiontype,OTHER
public,subjecttype,CHILD
public,subjecttype,DEMENTIA
public,subjecttype,ELDERLY
public,subjecttype,DISABILITY
public,subjecttype,GENERAL
public,subjecttype,OTHER
realtime,action,INSERT
realtime,action,UPDATE
realtime,action,DELETE
realtime,action,TRUNCATE
realtime,action,ERROR
realtime,equality_op,eq
realtime,equality_op,neq
realtime,equality_op,lt
realtime,equality_op,lte
realtime,equality_op,gt
realtime,equality_op,gte
realtime,equality_op,in
realtime,equality_op,like
realtime,equality_op,ilike
realtime,equality_op,is
realtime,equality_op,match
realtime,equality_op,imatch
realtime,equality_op,isdistinct
storage,buckettype,STANDARD
storage,buckettype,ANALYTICS
storage,buckettype,VECTOR
